№;room;product_type;rus_name;swe_name;color;length;width;height;article;quantity;total_price (rub;source_link
1;гостинная;диван;КЛИППАН;KLIPPAN ;серый;178;88;33;494.143.53;1,0;13 999;https://www.ikea.com/ru/ru/p/klippan-klippan-2-mestnyy-divan-visle-seryy-s49414353/
2;гостинная;подушка;КЭРЛЕКСГРЭС; KÄRLEKSGRÄS ;серый;40;40;15;804.953.99;3,0;537;https://www.ikea.com/ru/ru/p/kaerleksgraes-kerleksgres-podushka-seryy-80495399/
3;гостинная;стеллаж;КАЛЛАКС;KALLAX ;белый;77;147;16;192.783.09;1,0;9 395;https://www.ikea.com/ru/ru/p/kallax-kallaks-stellazh-s-4-vstavkami-belyy-s19278309/
4;гостинная;шкаф;ХАВСТА;HAVSTA ;белый;81;37;134;192.751.03;1,0;15 990;https://www.ikea.com/ru/ru/p/havsta-havsta-shkaf-s-cokolem-belyy-s19275103/
5;гостинная;тележка;НИССАФОРС;NISSAFORS;красный;51;30;83;404.657.47;2,0;4 998;https://www.ikea.com/ru/ru/p/nissafors-nissafors-telezhka-krasno-oranzhevyy-40465747/
6;кабинет;письменный стол;ИДОСЕН;IDÅSEN ;черный;122;72;4;692.810.26;1,0;15 999;https://www.ikea.com/ru/ru/p/idasen-idosen-pismennyy-stol-chernyy-temno-seryy-s69281026/
7;кабинет;стеллаж;БИЛЛИ ОКСБЕРГ;BILLY OXBERG ;черно-коричневый;207;29;13;292.435.50;1,0;12 990;https://www.ikea.com/ru/ru/p/billy-billi-oxberg-oksberg-stellazh-cherno-korichnevyy-s29243550/
8;кабинет;рабочий стул;ХАТТЕФЬЕЛЛЬ;HATTEFJÄLL ;черный;66;64;38;193.052.04;1,0;21 999;https://www.ikea.com/ru/ru/p/hattefjaell-hattefell-rabochiy-stul-s-podlokotnikami-smidig-chernyy-chernyy-s19305204/
9;кабинет;полка;ЛАКК;LACK ;черно-коричневый;110;26;5;903.794.98;1,0;849;https://www.ikea.com/ru/ru/p/lack-lakk-polka-navesnaya-cherno-korichnevyy-90379498/
10;кабинет;диван-кровать;ЛАНДСОРТ;LANDSORT ;темно-серый;192;73;46;704.805.67;1,0;13 999;https://www.ikea.com/ru/ru/p/landsort-landsort-3-mestnyy-divan-krovat-remmarn-temno-seryy-70480567/
